440.00, 0.00, 4095.00, 0.00, 48890.00, 8388607.00
451.00, 0.00, 4095.00, 0.00, 48862.00, 8388607.00
462.00, 0.00, 4095.00, 0.00, 48700.00, 8388607.00
473.00, 0.00, 4095.00, 0.00, 48837.00, 8388607.00
483.00, 0.00, 4095.00, 0.00, 48942.00, 8388607.00
494.00, 0.00, 4095.00, 0.00, 48939.00, 8388607.00
505.00, 0.00, 4095.00, 0.00, 49070.00, 8388607.00
516.00, 0.00, 4095.00, 0.00, 49024.00, 8388607.00
527.00, 0.00, 4095.00, 0.00, 49018.00, 8388607.00
537.00, 0.00, 4095.00, 0.00, 48904.00, 8388607.00
543.00, 0.00, 4095.00, 0.00, 48843.00, 8388607.00
554.00, 0.00, 4095.00, 0.00, 48704.00, 8388607.00
571.00, 0.00, 4095.00, 0.00, 49012.00, 8388607.00
582.00, 0.00, 4095.00, 0.00, 49293.00, 8388607.00
593.00, 0.00, 4095.00, 0.00, 49183.00, 8388607.00
604.00, 0.00, 4095.00, 0.00, 49160.00, 8388607.00
615.00, 0.00, 4095.00, 0.00, 48916.00, 8388607.00
626.00, 0.00, 4095.00, 0.00, 48891.00, 8388607.00
637.00, 0.00, 4095.00, 0.00, 48813.00, 8388607.00
648.00, 0.00, 4095.00, 0.00, 49113.00, 8388607.00
659.00, 0.00, 4095.00, 0.00, 48929.00, 8388607.00
670.00, 0.00, 4095.00, 0.00, 49047.00, 8388607.00
680.00, 0.00, 4095.00, 0.00, 48834.00, 8388607.00
688.00, 0.00, 4095.00, 0.00, 49004.00, 8388607.00
696.00, 0.00, 4095.00, 0.00, 49009.00, 8388607.00
707.00, 0.00, 4095.00, 0.00, 49324.00, 8388607.00
724.00, 0.00, 4095.00, 0.00, 50164.00, 8388607.00
735.00, 0.00, 4095.00, 0.00, 50069.00, 8388607.00
746.00, 0.00, 4095.00, 0.00, 50481.00, 8388607.00
757.00, 0.00, 4095.00, 0.00, 50611.00, 8388607.00
768.00, 0.00, 4095.00, 0.00, 50592.00, 8388607.00
779.00, 0.00, 4095.00, 0.00, 50311.00, 8388607.00
790.00, 0.00, 4095.00, 0.00, 50404.00, 8388607.00
801.00, 0.00, 4095.00, 0.00, 50434.00, 8388607.00
812.00, 0.00, 4095.00, 0.00, 50291.00, 8388607.00
823.00, 0.00, 4095.00, 0.00, 50270.00, 8388607.00
834.00, 0.00, 4095.00, 0.00, 50483.00, 8388607.00
839.00, 0.00, 4095.00, 0.00, 50568.00, 8388607.00
850.00, 0.00, 4095.00, 0.00, 50935.00, 8388607.00
866.00, 0.00, 4095.00, 0.00, 50651.00, 8388607.00
877.00, 0.00, 4095.00, 0.00, 50630.00, 8388607.00
888.00, 0.00, 4095.00, 0.00, 50517.00, 8388607.00
